opt_type,L_,d0,d1,k0,k1,w_lo_delta,w_lo_k,phi
2d2k,7,0.8,0.99,3,55.3,0.222,0.825,1.1
2d2k,5.1,0.85,0.99,3.1,55.6,0.227,0.801,1.5
2d2k,7.3,0.9,0.991,3.1,33.5,0.186,0.748,1.9
2d2k,3.3,0.8,0.991,4.2,49.7,0.235,0.783,1.1
2d2k,7.8,0.85,0.99,2.8,55,0.185,0.792,1.5
2d2k,7.5,0.9,0.993,2.4,28.1,0.198,0.674,1.9
2d2k,6.1,0.8,0.99,2.8,53.7,0.252,0.793,1.1
2d2k,5.3,0.85,0.989,3.3,33.5,0.173,0.717,1.5
2d2k,2,0.9,0.99,2,10,0.15,0.15,1.9
2d2k,3,0.8,0.993,3,20,0.2,0.25,1.1
2d2k,4,0.85,0.992,4,30,0.25,0.25,1.5
2d2k,5,0.9,0.99,5,20,0.15,0.15,1.9
2d2k,6,0.8,0.991,2,30,0.25,0.15,1.1
2d2k,2,0.85,0.992,3,10,0.02,0.15,1.5
2d2k,3,0.9,0.994,4,10,0.15,0.15,1.9
2d2k,4,0.8,0.99,5,20,0.2,0.25,1.1
2d2k,5,0.85,0.99,2,30,0.25,0.25,1.5
2d2k,6,0.9,0.991,3,30,0.15,0.45,1.9
2d2k,2,0.8,0.991,4,20,0.25,0.55,1.1
2d2k,3,0.85,0.99,5,10,0.02,0.55,1.5
2d2k,4,0.9,0.993,2,10,0.15,0.45,1.9
2d2k,5,0.8,0.99,3,20,0.2,0.45,1.1
2d2k,6,0.85,0.989,4,30,0.25,0.45,1.5
2d2k,2,0.9,0.99,5,20,0.15,0.45,1.9
2d2k,3,0.8,0.993,2,30,0.25,0.55,1.1
2d2k,4,0.85,0.992,3,10,0.02,0.55,1.5
2d2k,5,0.9,0.99,4,10,0.15,0.45,1.9
2d2k,6,0.8,0.991,5,20,0.2,0.55,1.1
