opt_type,L_,b0,b1,beta_var,k0,k1,w_lo_beta,w_lo_k,phi
2b2k_fix_b1,6,0.49,1,0.993,2.5,47,0.25,0.79,1.1
2b2k_fix_b1,6,0.51,1,0.995,3,49,0.23,0.77,1.1
2b2k_fix_b1,6,0.53,1,0.991,3,51,0.27,0.81,1.1
2b2k_fix_b1,6,0.55,1,0.993,2.5,53,0.24,0.77,1.1
2b2k_fix_b1,6,0.49,1,0.995,2.5,55,0.23,0.81,1.1
2b2k_fix_b1,6,0.51,1,0.991,3,51,0.24,0.79,1.1
2b2k_fix_b1,6,0.53,1,0.993,3,49,0.25,0.79,1.1
2b2k_fix_b1,6,0.55,1,0.995,2.5,47,0.27,0.81,1.1
2b2k_fix_b1,6,0.49,1,0.991,2.5,55,0.23,0.77,1.1
2b2k_fix_b1,6,0.51,1,0.993,3,53,0.27,0.81,1.1
2b2k_fix_b1,6,0.53,1,0.995,3,47,0.24,0.77,1.1
2b2k_fix_b1,6,0.55,1,0.991,2.5,49,0.23,0.79,1.1
2b2k_fix_b1,6,0.49,1,0.993,2.5,51,0.23,0.79,1.1
2b2k_fix_b1,6,0.51,1,0.995,3,53,0.27,0.77,1.1
2b2k_fix_b1,6,0.53,1,0.991,3,55,0.25,0.81,1.1
2b2k_fix_b1,6,0.55,1,0.993,2.5,51,0.24,0.77,1.1
2b2k_fix_b1,6,0.49,1,0.995,2.5,49,0.25,0.81,1.1
2b2k_fix_b1,6,0.51,1,0.991,3,47,0.23,0.79,1.1
2b2k_fix_b1,6,0.53,1,0.993,3,55,0.27,0.79,1.1
2b2k_fix_b1,6,0.55,1,0.995,2.5,53,0.24,0.81,1.1
2b2k_fix_b1,6,0.49,1,0.991,2.5,47,0.23,0.77,1.1
2b2k_fix_b1,6,0.51,1,0.993,3,49,0.24,0.81,1.1
2b2k_fix_b1,6,0.53,1,0.995,3,51,0.25,0.77,1.1
2b2k_fix_b1,6,0.55,1,0.991,2.5,53,0.27,0.79,1.1
2b2k_fix_b1,6,0.49,1,0.993,2.5,55,0.23,0.79,1.1
2b2k_fix_b1,6,0.51,1,0.995,3,51,0.27,0.77,1.1
2b2k_fix_b1,6,0.53,1,0.991,3,49,0.24,0.81,1.1
2b2k_fix_b1,6,0.55,1,0.993,2.5,47,0.23,0.77,1.1
